protein_id	source	ncbi_taxid	genus	species	strain_or_gene	assembly	description	source_accession
Obelisk_001230_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416056
Obelisk_001230_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416057
Obelisk_001230_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416058
Obelisk_001230_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416059
Obelisk_001230_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416060
Obelisk_001230_000001_000005_2	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416060
Obelisk_001230_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416061
Obelisk_001230_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416064
Obelisk_001230_000001_000008_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416071
Obelisk_001230_000001_000009_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416073
Obelisk_001230_000001_000010_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000010	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416077
Obelisk_001230_000001_000011_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416080
Obelisk_001230_000001_000011_2	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000011	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416080
Obelisk_001230_000001_000012_1	OBELISK	32644	NA	NA	.	Obelisk_001230_000001_000012	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416096
Obelisk_001231_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001231_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672710
Obelisk_001232_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815198
Obelisk_001232_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815217
Obelisk_001232_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815236
Obelisk_001232_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815256
Obelisk_001232_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815258
Obelisk_001232_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815259
Obelisk_001232_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_001232_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815268
Obelisk_001233_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001233_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586900
Obelisk_001233_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_001233_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586900
Obelisk_001234_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR12681662
Obelisk_001234_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416057
Obelisk_001234_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416058
Obelisk_001234_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416070
Obelisk_001234_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416090
Obelisk_001234_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001234_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR8416098
Obelisk_001235_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001235_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5215306
Obelisk_001236_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001236_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=anaerobic digester metagenome | notes=.	SRR5947154
Obelisk_001236_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001236_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=anaerobic digester metagenome | notes=.	SRR5947155
Obelisk_001237_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001237_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wetland metagenome | notes=.	SRR6057750
Obelisk_001237_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001237_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wetland metagenome | notes=.	SRR6943224
Obelisk_001238_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158629
Obelisk_001238_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158631
Obelisk_001238_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158633
Obelisk_001238_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158634
Obelisk_001238_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158638
Obelisk_001238_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001238_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158639
Obelisk_001239_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001239_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR7166512
Obelisk_001240_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001240_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8048115
Obelisk_001240_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001240_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8048116
Obelisk_001240_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001240_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR8048122
Obelisk_001241_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873460
Obelisk_001241_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805535
Obelisk_001241_000002_000001_2	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805535
Obelisk_001241_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR7166509
Obelisk_001241_000002_000002_2	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR7166509
Obelisk_001241_000002_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035354
Obelisk_001241_000002_000003_2	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035354
Obelisk_001241_000002_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035362
Obelisk_001241_000002_000004_2	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035362
Obelisk_001241_000002_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035366
Obelisk_001241_000002_000005_2	OBELISK	32644	NA	NA	.	Obelisk_001241_000002_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035366
Obelisk_001242_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR10931998
Obelisk_001242_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815245
Obelisk_001242_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815222
Obelisk_001242_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815222
Obelisk_001242_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815263
Obelisk_001242_000001_000004_2	OBELISK	32644	NA	NA	.	Obelisk_001242_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2815263
Obelisk_001242_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sludge metagenome | notes=.	SRR6928339
Obelisk_001242_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001242_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=sludge metagenome | notes=.	SRR6928341
Obelisk_001243_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001243_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater sediment metagenome | notes=.	SRR7080628
Obelisk_001244_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001244_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Pygoscelis papua | notes=.	SRR7239363
Obelisk_001245_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001245_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972806
Obelisk_001245_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001245_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972807
Obelisk_001245_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001245_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972808
Obelisk_001245_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001245_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972810
Obelisk_001245_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001245_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater metagenome | notes=.	SRR7615563
Obelisk_001246_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001246_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158629
Obelisk_001246_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001246_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR7158638
Obelisk_001247_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001247_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=freshwater metagenome | notes=.	SRR8944079
Obelisk_001248_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001248_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035365
Obelisk_001249_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001249_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_001249_000002_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001249_000002_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010909
Obelisk_001249_000002_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001249_000002_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010910
Obelisk_001249_000002_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001249_000002_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010911
Obelisk_001250_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001250_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873465
Obelisk_001250_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001250_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR873463
Obelisk_001251_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001251_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586679
Obelisk_001251_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001251_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586704
Obelisk_001251_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001251_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586705
Obelisk_001251_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001251_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586706
Obelisk_001251_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001251_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=marine metagenome | notes=.	ERR3586707
Obelisk_001252_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001252_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR11867987
Obelisk_001253_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001253_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=biofilm metagenome | notes=.	SRR5614827
Obelisk_001254_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001254_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5829904
Obelisk_001254_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001254_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5829937
Obelisk_001254_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001254_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5829969
Obelisk_001255_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001255_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5829934
Obelisk_001255_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001255_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR5829936
Obelisk_001256_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001256_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=anaerobic digester metagenome | notes=.	SRR5947154
Obelisk_001257_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001257_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR9035365
Obelisk_001258_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001258_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR1352918
Obelisk_001258_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001258_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Oryza sativa Indica Group | notes=.	SRR7152610
Obelisk_001259_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001259_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=seawater metagenome | notes=.	SRR12661485
Obelisk_001259_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001259_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=seawater metagenome | notes=.	SRR12661218
Obelisk_001260_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001260_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	SRR4021381
Obelisk_001261_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001261_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805535
Obelisk_001261_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_001261_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805535
Obelisk_001261_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001261_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805537
Obelisk_001261_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001261_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805525
Obelisk_001261_000001_000003_2	OBELISK	32644	NA	NA	.	Obelisk_001261_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bovine gut metagenome | notes=.	SRR5805525
Obelisk_001262_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001262_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=termite gut metagenome | notes=.	SRR11867987
Obelisk_001263_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Sus scrofa domesticus | notes=.	SRR5368848
Obelisk_001263_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Sus scrofa domesticus | notes=.	SRR5368798
Obelisk_001263_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Sus scrofa domesticus | notes=.	SRR5368853
Obelisk_001263_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=Sus scrofa domesticus | notes=.	SRR5368856
Obelisk_001263_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR5368879
Obelisk_001263_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=gut metagenome | notes=.	SRR5368902
Obelisk_001263_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972809
Obelisk_001263_000001_000008_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000008	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972810
Obelisk_001263_000001_000009_1	OBELISK	32644	NA	NA	.	Obelisk_001263_000001_000009	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972811
Obelisk_001264_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001264_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=anaerobic digester metagenome | notes=.	SRR5947154
Obelisk_001265_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001265_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214911
Obelisk_001265_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001265_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214936
Obelisk_001265_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001265_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=metagenome | notes=.	ERR2672712
Obelisk_001266_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001266_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214922
Obelisk_001266_000001_000001_2	OBELISK	32644	NA	NA	.	Obelisk_001266_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=bioreactor metagenome | notes=.	SRR6214922
Obelisk_001267_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010901
Obelisk_001267_000001_000002_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000002	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010902
Obelisk_001267_000001_000003_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000003	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010903
Obelisk_001267_000001_000004_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000004	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010909
Obelisk_001267_000001_000005_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000005	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010910
Obelisk_001267_000001_000006_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000006	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010911
Obelisk_001267_000001_000007_1	OBELISK	32644	NA	NA	.	Obelisk_001267_000001_000007	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=soil metagenome | notes=.	ERR3010916
Obelisk_001268_000001_000001_1	OBELISK	32644	NA	NA	.	Obelisk_001268_000001_000001	Zheludev et al. 2024 doi:10.1016/j.cell.2024.09.033 | sample_type=wastewater metagenome | notes=.	SRR10972810
